scientific_name,common_name
aythya americana,redhead
aythya ferina,common pochard
aythya collaris,ring-necked duck
aythya nyroca,ferruginous duck
aythya innotata,madagascar pochard
aythya baeri,baer's pochard
aythya australis,hardhead
aythya fuligula,tufted duck
aythya novaeseelandiae,new zealand scaup
aythya marila,greater scaup
aythya affinis,lesser scaup
polysticta stelleri,steller's eider
camptorhynchus labradorius,labrador duck
somateria fischeri,spectacled eider
somateria mollissima,common eider
histrionicus histrionicus,harlequin duck
melanitta perspicillata,surf scoter
melanitta fusca,velvet scoter
melanitta deglandi,white-winged scoter
melanitta stejnegeri,stejneger's scoter
melanitta nigra,common scoter
melanitta americana,black scoter
clangula hyemalis,long-tailed duck
bucephala albeola,bufflehead
bucephala clangula,common goldeneye
bucephala islandica,barrow's goldeneye
mergellus albellus,smew
lophodytes cucullatus,hooded merganser
mergus australis,auckland islands merganser
mergus merganser,common merganser
mergus octosetaceus,brazilian merganser
mergus serrator,red-breasted merganser
mergus squamatus,scaly-sided merganser
heteronetta atricapilla,black-headed duck
nomonyx dominicus,masked duck
oxyura jamaicensis,ruddy duck
oxyura ferruginea,andean duck
oxyura leucocephala,white-headed duck
oxyura maccoa,maccoa duck
oxyura vittata,lake duck
oxyura australis,blue-billed duck
biziura lobata,musk duck
alectura lathami,australian brushturkey
aepypodius arfakianus,wattled brushturkey
aepypodius bruijnii,waigeo brushturkey
talegalla cuvieri,red-billed brushturkey
talegalla fuscirostris,yellow-legged brushturkey
talegalla jobiensis,red-legged brushturkey
leipoa ocellata,malleefowl
macrocephalon maleo,maleo
eulipoa wallacei,moluccan megapode
megapodius pritchardii,tongan megapode
megapodius laperouse,micronesian megapode
megapodius nicobariensis,nicobar megapode
megapodius cumingii,philippine megapode
megapodius bernsteinii,sula megapode
megapodius tenimberensis,tanimbar megapode
megapodius freycinet,dusky megapode
megapodius geelvinkianus,biak megapode
megapodius eremita,melanesian megapode
megapodius layardi,vanuatu megapode
megapodius decollatus,new guinea megapode
megapodius reinwardt,orange-footed megapode
ortalis vetula,plain chachalaca
ortalis cinereiceps,gray-headed chachalaca
ortalis garrula,chestnut-winged chachalaca
ortalis ruficauda,rufous-vented chachalaca
ortalis erythroptera,rufous-headed chachalaca
ortalis wagleri,rufous-bellied chachalaca
ortalis poliocephala,west mexican chachalaca
ortalis canicollis,chaco chachalaca
ortalis leucogastra,white-bellied chachalaca
ortalis columbiana,colombian chachalaca
ortalis guttata,speckled chachalaca
ortalis araucuan,east brazilian chachalaca
ortalis squamata,scaled chachalaca
ortalis motmot,variable chachalaca
ortalis ruficeps,chestnut-headed chachalaca
ortalis superciliaris,buff-browed chachalaca
penelope argyrotis,band-tailed guan
penelope barbata,bearded guan
penelope ortoni,baudo guan
penelope montagnii,andean guan
penelope marail,marail guan
penelope superciliaris,rusty-margined guan
penelope dabbenei,red-faced guan
penelope jacquacu,spix's guan
penelope purpurascens,crested guan
penelope perspicax,cauca guan
penelope albipennis,white-winged guan
penelope obscura,dusky-legged guan
penelope bridgesi,yungas guan
penelope pileata,white-crested guan
penelope ochrogaster,chestnut-bellied guan
penelope jacucaca,white-browed guan
pipile pipile,trinidad piping-guan
pipile cumanensis,blue-throated piping-guan
pipile grayi,white-throated piping-guan
pipile cujubi,red-throated piping-guan
pipile jacutinga,black-fronted piping-guan
aburria aburri,wattled guan
chamaepetes unicolor,black guan
chamaepetes goudotii,sickle-winged guan
penelopina nigra,highland guan
oreophasis derbianus,horned guan
nothocrax urumutum,nocturnal curassow
mitu tomentosum,crestless curassow
mitu salvini,salvin's curassow
mitu tuberosum,razor-billed curassow
mitu mitu,alagoas curassow
pauxi pauxi,helmeted curassow
pauxi koepckeae,sira curassow
pauxi unicornis,horned curassow
crax rubra,great curassow
crax alberti,blue-billed curassow
crax daubentoni,yellow-knobbed curassow
crax alector,black curassow
crax globulosa,wattled curassow
crax fasciolata,bare-faced curassow
crax blumenbachii,red-billed curassow
numida meleagris,helmeted guineafowl
agelastes meleagrides,white-breasted guineafowl
agelastes niger,black guineafowl
acryllium vulturinum,vulturine guineafowl
guttera plumifera,plumed guineafowl
guttera pucherani,eastern crested guineafowl
guttera verreauxi,western crested guineafowl
guttera edouardi,southern crested guineafowl
ptilopachus petrosus,stone partridge
ptilopachus nahani,nahan's partridge
rhynchortyx cinctus,tawny-faced quail
oreortyx pictus,mountain quail
dendrortyx leucophrys,buffy-crowned wood-partridge
dendrortyx macroura,long-tailed wood-partridge
dendrortyx barbatus,bearded wood-partridge
philortyx fasciatus,banded quail
colinus virginianus,northern bobwhite
colinus nigrogularis,black-throated bobwhite
colinus cristatus,crested bobwhite
callipepla squamata,scaled quail
callipepla douglasii,elegant quail
callipepla californica,california quail
callipepla gambelii,gambel's quail
cyrtonyx montezumae,montezuma quail
cyrtonyx ocellatus,ocellated quail
dactylortyx thoracicus,singing quail
odontophorus gujanensis,marbled wood-quail
odontophorus capueira,spot-winged wood-quail
odontophorus melanotis,black-eared wood-quail
odontophorus atrifrons,black-fronted wood-quail
odontophorus erythrops,rufous-fronted wood-quail
odontophorus hyperythrus,chestnut wood-quail
odontophorus melanonotus,dark-backed wood-quail
odontophorus dialeucos,tacarcuna wood-quail
odontophorus strophium,gorgeted wood-quail
odontophorus columbianus,venezuelan wood-quail
odontophorus leucolaemus,black-breasted wood-quail
odontophorus balliviani,stripe-faced wood-quail
odontophorus stellatus,starred wood-quail
odontophorus guttatus,spotted wood-quail
xenoperdix udzungwensis,udzungwa partridge
caloperdix oculeus,ferruginous partridge
rollulus rouloul,crested partridge
melanoperdix niger,black partridge
arborophila torqueola,hill partridge
arborophila rufipectus,sichuan partridge
arborophila mandellii,chestnut-breasted partridge
arborophila gingica,white-necklaced partridge
arborophila rufogularis,rufous-throated partridge
arborophila rubrirostris,red-billed partridge
arborophila cambodiana,chestnut-headed partridge
arborophila ardens,hainan partridge
arborophila crudigularis,taiwan partridge
arborophila atrogularis,white-cheeked partridge
arborophila brunneopectus,bar-backed partridge
arborophila davidi,orange-necked partridge
arborophila hyperythra,red-breasted partridge
arborophila campbelli,malayan partridge
arborophila rolli,roll's partridge
arborophila sumatrana,sumatran partridge
arborophila javanica,chestnut-bellied partridge
arborophila orientalis,gray-breasted partridge
lerwa lerwa,snow partridge
ithaginis cruentus,blood pheasant
tragopan melanocephalus,western tragopan
tragopan satyra,satyr tragopan
tragopan blythii,blyth's tragopan
tragopan temminckii,temminck's tragopan
tragopan caboti,cabot's tragopan
tetraophasis obscurus,verreaux's partridge
tetraophasis szechenyii,szechenyi's partridge
